Poll ID,Date,Respondents,Media Outlet,Pollster,Likud,UTJ,Shas,Blue & White,Yesh Atid,Hadash Ta'al,Yisrael Beiteinu,The Democrats,Religious Zionism,Ra'am,Balad,Otzma Yehudit,Bennett's Party,Yashar!,The Reservists,Joint Arab List
167,2022-10-28,500,גלי ישראל,רפי סמית,31,7,9,11,25,0,6,9,14,4,0,0,0,0,0,4
166,2022-10-28,1007,חדשות 12,מנו גבע,31,7,8,11,25,0,6,10,14,4,0,0,0,0,0,4
165,2022-10-28,801,חדשות 13,קמיל פוקס,30,7,8,10,27,0,5,10,15,4,0,0,0,0,0,4
164,2022-10-28,500,מעריב,מנחם לזר,31,6,9,12,25,0,6,9,14,4,0,0,0,0,0,4
163,2022-10-27,1301,כאן חדשות,דודי חסיד,31,7,8,11,24,0,6,11,14,4,0,0,0,0,0,4
162,2022-10-27,1200,ישראל היום,יצחק כץ,30,7,9,11,25,0,5,10,15,4,0,0,0,0,0,4
161,2022-10-26,505,גלי צהל,מנו גבע,31,7,8,12,25,0,6,10,13,4,0,0,0,0,0,4
160,2022-10-26,700,גלי ישראל,רפי סמית,32,7,9,12,25,0,5,9,13,4,0,0,0,0,0,4
159,2022-10-25,500,ערוץ הכנסת,מנחם לזר,31,7,8,12,24,0,6,10,14,4,0,0,0,0,0,4
158,2022-10-25,801,חדשות 13,קמיל פוקס,31,7,8,11,27,0,6,8,14,4,0,0,0,0,0,4
157,2022-10-24,501,חדשות 12,מנו גבע,32,7,8,13,24,0,5,10,13,4,0,0,0,0,0,4
156,2022-10-24,1084,ערוץ 14,דירקט פולס,34,7,9,12,23,0,6,9,12,4,0,0,0,0,0,4
155,2022-10-24,500,מעריב,מנחם לזר,32,7,8,12,23,0,6,10,14,4,0,0,0,0,0,4
154,2022-10-24,752,רשת ב,דודי חסיד,31,7,9,12,24,0,6,10,13,4,0,0,0,0,0,4
153,2022-10-21,712,מעריב,מנחם לזר,31,7,8,12,23,0,7,10,14,4,0,0,0,0,0,4
152,2022-10-20,801,חדשות 13,קמיל פוקס,32,7,8,11,26,0,5,10,13,4,0,0,0,0,0,4
151,2022-10-20,847,ערוץ 14,דירקט פולס,34,7,9,13,23,0,6,8,12,4,0,0,0,0,0,4
150,2022-10-20,507,שידורי קשת,מנו גבע,31,7,8,11,24,0,6,11,14,4,0,0,0,0,0,4
149,2022-10-19,712,ערוץ הכנסת,מנחם לזר,32,7,8,11,24,0,7,10,13,4,0,0,0,0,0,4
148,2022-10-18,510,חדשות 12,מנו גבע,30,7,8,12,25,0,6,10,14,4,0,0,0,0,0,4
147,2022-10-18,651,כאן חדשות,דודי חסיד,31,7,8,11,25,0,7,9,14,4,0,0,0,0,0,4
146,2022-10-14,707,מעריב,מנחם לזר,32,7,8,12,24,0,6,10,13,4,0,0,0,0,0,4
145,2022-10-13,537,ערוץ 14,דירקט פולס,34,7,9,12,23,0,7,8,12,4,0,0,0,0,0,4
144,2022-10-13,802,חדשות 13,קמיל פוקס,32,7,8,12,26,0,5,10,12,4,0,0,0,0,0,4
143,2022-10-12,712,ערוץ הכנסת,מנחם לזר,32,7,8,12,25,0,6,9,13,4,0,0,0,0,0,4
142,2022-10-12,700,103FM,מנחם לזר,32,7,8,11,25,0,6,10,13,4,0,0,0,0,0,4
141,2022-10-11,500,חדשות 12,מנו גבע,31,7,8,12,24,0,6,11,13,4,0,0,0,0,0,4
140,2022-10-11,649,כאן חדשות,דודי חסיד,32,7,8,12,24,0,6,10,13,4,0,0,0,0,0,4
139,2022-10-07,705,מעריב,מנחם לזר,32,7,8,12,23,0,6,10,14,4,0,0,0,0,0,4
138,2022-10-06,591,ערוץ 14,דירקט פולס,35,7,9,11,23,0,6,10,11,4,0,0,0,0,0,4
137,2022-10-06,715,ערוץ הכנסת,מנחם לזר,32,7,8,11,24,0,6,11,13,4,0,0,0,0,0,4
136,2022-10-06,511,ישראל היום,יצחק כץ,32,7,8,11,24,0,5,12,13,4,0,0,0,0,0,4
135,2022-10-03,501,גלי צה״ל,מנו גבע,32,7,8,12,24,0,6,11,12,4,0,0,0,0,0,4
134,2022-10-02,701,חדשות 13,קמיל פוקס,31,7,8,12,25,0,5,10,14,4,0,0,0,0,0,4
133,2022-10-01,652,כאן חדשות,דודי חסיד,32,7,8,12,25,0,6,10,12,4,0,0,0,0,0,4
132,2022-09-30,1433,מעריב,מנחם לזר,31,7,8,13,24,0,6,10,13,4,0,0,0,0,0,4
131,2022-09-29,500,ערוץ 14,דירקט פולס,35,7,9,13,23,0,6,8,11,4,0,0,0,0,0,4
130,2022-09-29,700,ערוץ הכנסת,מנחם לזר,32,7,8,12,24,0,6,10,13,4,0,0,0,0,0,4
129,2022-09-28,600,חדשות 12,מנו גבע,32,7,8,13,24,0,6,10,12,4,0,0,0,0,0,4
128,2022-09-23,703,מעריב,מנחם לזר,33,7,8,12,24,0,5,11,12,4,0,0,0,0,0,4
127,2022-09-22,500,ערוץ 14,דירקט פולס,34,7,9,13,23,0,6,8,12,4,0,0,0,0,0,4
126,2022-09-22,508,חדשות 12,מנו גבע,34,7,8,12,23,0,6,10,11,5,0,0,0,0,0,4
125,2022-09-22,702,חדשות 13,קמיל פוקס,32,7,8,11,25,0,5,10,14,4,0,0,0,0,0,4
124,2022-09-21,706,מאקו,מנחם לזר,33,7,8,12,24,0,6,10,12,4,0,0,0,0,0,4
123,2022-09-18,616,ערוץ 14,דירקט פולס,34,7,9,13,22,0,6,9,12,4,0,0,0,0,0,4
122,2022-09-17,702,כאן חדשות,דודי חסיד,33,7,8,12,24,0,5,11,12,4,0,0,0,0,0,4
121,2022-09-16,691,חדשות 13,קמיל פוקס,32,7,8,12,24,0,6,10,13,4,0,0,0,0,0,4
120,2022-09-16,629,חדשות 12,מנו גבע,33,7,8,12,23,0,6,11,12,4,0,0,0,0,0,4
119,2022-09-16,700,מעריב,מנחם לזר,31,7,8,12,25,0,6,10,11,4,0,0,0,0,0,6
118,2022-09-15,645,ערוץ 14,דירקט פולס,34,7,9,12,22,0,6,10,11,4,0,0,0,0,0,5
117,2022-09-14,781,חדשות 13,קמיל פוקס,31,7,8,12,24,0,6,10,13,4,0,0,0,0,0,5
116,2022-09-13,650,כאן חדשות,דודי חסיד,32,7,9,12,24,0,5,10,12,4,0,0,0,0,0,5
115,2022-09-13,720,מאקו,מנחם לזר,32,6,8,12,26,0,5,11,11,4,0,0,0,0,0,5
114,2022-09-12,500,ישראל היום,מאגר מוחות,33,7,7,12,23,0,4,12,12,4,0,0,0,0,0,6
113,2022-09-11,616,ערוץ 14,דירקט פולס,34,7,9,12,23,0,5,9,11,4,0,0,0,0,0,6
112,2022-09-10,504,חדשות 12,מנו גבע,32,7,9,12,23,0,5,11,11,5,0,0,0,0,0,5
111,2022-09-09,704,מעריב,מנחם לזר,31,7,8,12,25,0,5,9,13,4,0,0,0,0,0,6
110,2022-09-04,500,ערוץ 14,דירקט פולס,33,7,10,12,22,0,6,10,10,4,0,0,0,0,0,6
109,2022-09-02,703,מעריב,מנחם לזר,31,6,8,13,24,0,5,10,13,4,0,0,0,0,0,6
108,2022-09-01,701,חדשות 13,קמיל פוקס,32,7,8,13,24,0,6,9,12,4,0,0,0,0,0,5
107,2022-08-31,505,חדשות 12,מנו גבע,33,7,8,12,24,0,6,10,11,4,0,0,0,0,0,5
106,2022-08-28,512,103FM,מנחם לזר,32,7,8,13,23,0,5,10,12,4,0,0,0,0,0,6
102,2022-08-26,501,חדשות 12,מנו גבע,34,7,8,13,23,0,5,11,9,5,0,0,0,0,0,5
101,2022-08-26,715,מעריב,מנחם לזר,31,7,8,13,23,0,5,11,4,4,0,8,0,0,0,6
100,2022-08-24,614,ערוץ 14,דירקט פולס,35,7,9,12,22,0,6,9,5,4,0,5,0,0,0,6
99,2022-08-24,500,חדשות 12,מנו גבע,34,7,8,13,23,0,5,11,0,5,0,9,0,0,0,5
98,2022-08-24,701,חדשות 13,קמיל פוקס,30,7,8,12,23,0,6,9,7,4,0,9,0,0,0,5
97,2022-08-24,649,כאן חדשות,דודי חסיד,33,7,8,14,22,0,5,10,4,4,0,8,0,0,0,5
96,2022-08-19,737,מעריב,מנחם לזר,32,7,8,12,25,0,5,9,5,4,0,7,0,0,0,6
95,2022-08-14,980,ערוץ 14,דירקט פולס,34,7,9,13,22,0,5,9,11,5,0,0,0,0,0,5
94,2022-08-14,702,חדשות 13,קמיל פוקס,34,7,8,12,23,0,4,10,11,5,0,0,0,0,0,6
93,2022-08-14,507,חדשות 12,מנו גבע,34,7,8,14,23,0,5,9,10,4,0,0,0,0,0,6
92,2022-08-14,652,כאן חדשות,דודי חסיד,35,7,8,14,22,0,5,9,9,5,0,0,0,0,0,6
91,2022-08-12,717,מעריב,מנחם לזר,33,7,9,10,25,0,5,7,14,4,0,0,0,0,0,6
90,2022-08-08,702,חדשות 13,קמיל פוקס,34,7,7,11,22,0,5,9,15,4,0,0,0,0,0,6
89,2022-08-08,642,כאן חדשות,דודי חסיד,33,7,8,12,23,0,6,10,11,4,0,0,0,0,0,6
88,2022-08-08,500,חדשות 12,מנו גבע,34,7,8,12,24,0,5,9,10,5,0,0,0,0,0,6
87,2022-08-05,700,מעריב,מנחם לזר,34,7,8,11,23,0,5,9,13,4,0,0,0,0,0,6
86,2022-08-04,701,חדשות 13,קמיל פוקס,35,7,8,12,21,0,5,10,12,4,0,0,0,0,0,6
85,2022-08-04,1139,ערוץ 14,דירקט פולס,34,7,9,12,23,0,5,9,11,5,0,0,0,0,0,5
84,2022-07-31,425,ערוץ 14,דירקט פולס,34,7,9,13,21,0,6,9,11,5,0,0,0,0,0,5
83,2022-07-31,500,רדיו ירושלים,מאגר מוחות,34,7,9,12,22,0,5,10,11,4,0,0,0,0,0,6
82,2022-07-29,701,מעריב,מנחם לזר,35,6,8,11,23,0,5,8,14,4,0,0,0,0,0,6
81,2022-07-28,503,חדשות 12,מנו גבע,33,7,8,11,23,0,5,10,13,4,0,0,0,0,0,6
80,2022-07-26,721,חדשות 13,קמיל פוקס,35,6,8,13,24,0,5,8,11,4,0,0,0,0,0,6
79,2022-07-24,557,כאן חדשות,דודי חסיד,35,7,8,12,22,0,5,11,10,4,0,0,0,0,0,6
78,2022-07-22,709,מעריב,מנחם לזר,35,6,8,12,24,0,6,9,10,4,0,0,0,0,0,6
77,2022-07-17,703,חדשות 13,קמיל פוקס,34,6,8,12,22,0,6,11,10,4,0,0,0,0,0,6
76,2022-07-15,711,מעריב,מנחם לזר,36,7,8,13,24,0,6,6,10,4,0,0,0,0,0,6
75,2022-07-13,1135,ערוץ 14,שלמה פילבר,36,7,9,14,20,0,6,9,9,5,0,0,0,0,0,5
74,2022-07-11,506,חדשות 12,מנו גבע,34,7,8,13,23,0,6,9,10,4,0,0,0,0,0,6
73,2022-07-11,565,כאן חדשות,דודי חסיד,34,7,8,14,23,0,5,9,10,4,0,0,0,0,0,6
72,2022-07-08,711,מעריב,מנחם לזר,36,7,8,14,23,0,6,6,10,4,0,0,0,0,0,6
71,2022-07-03,550,כאן חדשות,דודי חסיד,34,7,8,12,21,0,5,9,14,4,0,0,0,0,0,6
70,2022-07-01,593,מעריב,מנחם לזר,34,7,8,14,22,0,5,6,14,4,0,0,0,0,0,6
69,2022-06-29,505,חדשות 12,מנו גבע,34,7,8,13,20,0,5,9,14,4,0,0,0,0,0,6
68,2022-06-24,727,מעריב,מנחם לזר,34,7,7,12,21,0,5,11,13,4,0,0,0,0,0,6
67,2022-06-21,1084,ערוץ 14,דירקט פולס,36,7,8,11,20,0,6,9,13,4,0,0,0,0,0,6
66,2022-06-21,701,חדשות 13,קמיל פוקס,35,7,8,11,22,0,5,9,13,4,0,0,0,0,0,6
65,2022-06-21,500,חדשות 12,מנו גבע,35,7,8,13,20,0,5,10,13,4,0,0,0,0,0,5
64,2022-06-21,550,כאן חדשות,דודי חסיד,36,7,8,13,21,0,5,6,14,4,0,0,0,0,0,6
63,2022-06-21,516,103FM,מנחם לזר,36,6,7,12,20,0,5,7,17,4,0,0,0,0,0,6
62,2022-06-13,500,חדשות 12,מנו גבע,36,7,8,10,20,0,5,10,14,5,0,0,0,0,0,5
61,2022-06-10,801,חדשות 13,קמיל פוקס,36,7,8,12,20,0,5,10,15,0,0,0,0,0,0,7
60,2022-06-10,519,מעריב,מנחם לזר,34,7,8,12,21,0,5,6,16,4,0,0,0,0,0,7
59,2022-06-07,552,כאן חדשות,דודי חסיד,35,7,8,8,20,0,5,11,16,4,0,0,0,0,0,6
58,2022-05-27,500,חדשות 12,מנו גבע,35,7,9,14,17,0,5,10,13,4,0,0,0,0,0,6
57,2022-05-27,1007,JPost,מנחם לזר,35,7,8,12,20,0,5,7,15,4,0,0,0,0,0,7
56,2022-05-22,508,103FM,מנחם לזר,36,7,8,12,18,0,5,8,15,4,0,0,0,0,0,7
55,2022-05-09,700,חדשות 13,קמיל פוקס,36,7,7,11,18,0,5,11,17,0,0,0,0,0,0,8
54,2022-05-03,500,גלי ישראל,רפי סמית,36,7,8,7,20,0,6,12,13,5,0,0,0,0,0,6
53,2022-04-08,502,ישראל היום,יצחק כץ,35,8,9,8,19,0,6,12,13,4,0,0,0,0,0,6
52,2022-04-08,506,מעריב,מנחם לזר,37,7,7,11,18,0,5,11,14,4,0,0,0,0,0,6
51,2022-04-07,1051,ערוץ 14,דירקט פולס,35,8,10,8,20,0,6,12,9,5,0,0,0,0,0,7
50,2022-04-06,706,חדשות 13,קמיל פוקס,38,7,7,9,17,0,6,11,15,4,0,0,0,0,0,6
49,2022-04-06,500,חדשות 12,מנו גבע,35,7,9,12,17,0,5,12,12,5,0,0,0,0,0,6
48,2022-04-06,550,כאן חדשות,דודי חסיד,35,7,8,13,19,0,4,10,14,4,0,0,0,0,0,6
47,2022-03-30,509,חדשות 12,מנו גבע,34,7,9,12,18,0,5,10,14,5,0,0,0,0,0,6
46,2022-03-25,771,ערוץ 14,דירקט פולס,36,7,9,8,18,0,7,12,12,4,0,0,0,0,0,7
45,2022-03-22,502,ישראל היום,יצחק כץ,34,8,8,9,17,0,5,13,16,4,0,0,0,0,0,6
44,2022-03-15,507,חדשות 12,מנו גבע,34,7,9,11,17,0,6,11,14,5,0,0,0,0,0,6
43,2022-02-15,500,דירקט פולס,דירקט פולס,36,7,9,9,17,0,6,12,12,5,0,0,0,0,0,7
42,2022-01-19,500,ישראל היום,מאגר מוחות,34,7,9,9,18,0,6,12,13,5,0,0,0,0,0,7
41,2022-01-16,502,חדשות 12,מנו גבע,33,7,9,13,18,0,6,11,12,5,0,0,0,0,0,6
40,2022-01-10,502,סרוגים,מאגר מוחות,33,7,9,11,18,0,6,13,14,4,0,0,0,0,0,5
39,2022-01-06,528,ערוץ 14,דירקט פולס,35,7,9,8,19,0,7,11,11,6,0,0,0,0,0,7
38,2022-01-06,500,גלי ישראל,רפי סמית,33,7,8,8,20,0,7,12,14,5,0,0,0,0,0,6
37,2021-12-21,700,חדשות 13,קמיל פוקס,33,7,8,12,19,0,5,10,16,5,0,0,0,0,0,5
36,2021-12-19,650,103FM,מנחם לזר,33,7,8,9,19,0,6,12,14,5,0,0,0,0,0,7
35,2021-12-05,509,חדשות 12,מנו גבע,34,7,9,9,19,0,6,12,13,5,0,0,0,0,0,6
33,2021-12-02,500,גלי ישראל,רפי סמית,34,7,9,7,21,0,7,11,12,5,0,0,0,0,0,7
32,2021-11-28,500,ערוץ 14,דירקט פולס,35,7,9,8,19,0,7,11,11,6,0,0,0,0,0,7
31,2021-11-22,504,ערוץ 20,יצחק כץ,33,8,8,9,18,0,6,13,13,5,0,0,0,0,0,7
30,2021-11-03,600,גלי ישראל,רפי סמית,34,7,8,8,20,0,6,12,13,5,0,0,0,0,0,7
29,2021-11-01,700,חדשות 13,קמיל פוקס,36,7,7,7,20,0,4,15,12,4,0,0,0,0,0,8
28,2021-10-31,637,דיירקט פולס,דירקט פולס,35,8,9,11,20,0,7,11,7,5,0,0,0,0,0,7
27,2021-10-12,553,חדשות 12,מנו גבע,34,7,9,12,18,0,5,12,13,4,0,0,0,0,0,6
26,2021-10-04,699,חדשות 13,קמיל פוקס,34,7,6,11,22,0,5,10,14,4,0,0,0,0,0,7
25,2021-10-04,701,דיירקט פולס,שלמה פילבר וצוריאל שרון,35,7,9,8,19,0,6,12,11,5,0,0,0,0,0,8
24,2021-09-02,500,גלי ישראל,רפי סמית,33,7,9,10,18,0,7,12,13,5,0,0,0,0,0,6
23,2021-08-20,504,חדשות 12,מנו גבע,32,7,9,12,20,0,6,12,12,4,0,0,0,0,0,6
22,2021-08-18,501,ערוץ 20,יצחק כץ,32,7,8,11,18,0,7,13,14,5,0,0,0,0,0,5
21,2021-08-13,504,ישראל היום,יצחק כץ,32,7,8,10,18,0,7,12,15,5,0,0,0,0,0,6
20,2021-07-16,500,ישראל היום,יצחק כץ,29,7,9,7,21,0,6,13,16,6,0,0,0,0,0,6
11,2021-07-12,502,חדשות 12,מנו גבע,30,7,9,13,19,0,7,12,13,4,0,0,0,0,0,6
10,2021-06-22,504,ערוץ 20,מאגר מוחות,29,7,9,11,22,0,6,12,13,5,0,0,0,0,0,6
9,2021-06-13,703,חדשות 13,קמיל פוקס,27,6,7,15,23,0,5,11,15,5,0,0,0,0,0,6
8,2021-06-13,500,כיכר השבת,רפי סמית,31,7,9,12,23,0,5,10,12,5,0,0,0,0,0,6
7,2021-06-10,500,ערוץ 20,מאגר מוחות,30,7,9,10,23,0,6,13,13,4,0,0,0,0,0,5
6,2021-05-23,702,חדשות 13,קמיל פוקס,29,6,7,13,22,0,5,11,16,0,0,0,0,0,0,8
5,2021-05-23,500,חדשות 12,מנו גבע,30,7,9,16,21,0,6,10,12,4,0,0,0,0,0,5
4,2021-05-04,699,חדשות 13,קמיל פוקס,28,7,7,14,21,0,5,12,16,4,0,0,0,0,0,6
3,2021-04-24,504,חדשות 12,מנו גבע,30,7,9,12,19,0,7,13,13,4,0,0,0,0,0,6
2,2021-04-23,500,103FM,יצחק כץ,30,8,8,11,20,0,5,12,15,5,0,0,0,0,0,6
1,2021-04-06,516,103FM,מנחם לזר,29,7,9,12,21,0,6,11,15,4,0,0,0,0,0,5
